Id	Label	Color
308	Ave Maria	1
309	Miles	7
310	Chowan	7
311	Dartmouth	8
312	Wisconsin-Oshkosh	9
313	Mississippi College	6
314	Virginia-Wise	1
315	Arkansas Tech	6
316	West Liberty State	11
317	Alderson Broaddus	11
318	Limestone College	2
319	Kentucky Wesleyan	10
320	Wesley	1
